"customer_id","age","gender","subscription_type","watch_hours","last_login_days","region","device","monthly_fees","churned","payment_method","number_of_profiles","avg_watch_time_per_day","favorite_genre"
"49a5dfd9-7e69-4022-a6ad-0a1b9767fb5b",47,"Other","Standard","0.7",19,"Europe","Mobile","13.99",1,"Gift Card",5,"0.03","Sci-Fi"
"d3c72c38-631b-4f9e-8a0e-de103cad1a7d",53,"Other","Premium","4.51",12,"Oceania","TV","17.99",1,"Crypto",2,"0.35","Horror"
"4e265c34-103a-4dbb-9553-76c9aa47e946",56,"Other","Standard","1.89",13,"Africa","Mobile","13.99",1,"Crypto",2,"0.13","Action"
"eae6439e-8cdf-4258-ab49-c493925b927a",32,"Other","Premium","2.22",34,"Europe","TV","17.99",1,"Debit Card",1,"0.06","Drama"
"bf48551e-a8e6-4fd9-bb32-3f798ed84680",46,"Other","Premium","1.25",13,"Europe","Tablet","17.99",1,"Debit Card",3,"0.09","Comedy"
"8c2d377b-f6ec-44b5-ae08-3660c4358a93",30,"Other","Premium","1.37",55,"North America","Mobile","17.99",1,"Debit Card",1,"0.02","Horror"
"c39a5943-fe7c-46ec-8d3c-2a24ab46733b",67,"Male","Standard","3.05",29,"Oceania","Tablet","13.99",1,"PayPal",1,"0.1","Drama"
"c8648f0f-0b92-4445-a3a7-5c48711cbc07",57,"Male","Premium","0.97",32,"South America","Mobile","17.99",1,"Gift Card",2,"0.03","Comedy"
"20529e32-d3e7-4cfc-8210-b6468cdbe2a4",55,"Other","Premium","3.86",25,"Europe","Tablet","17.99",1,"PayPal",3,"0.15","Action"
"2117b36a-9e3e-4077-ac5b-03540bb38461",49,"Male","Standard","4.22",50,"Oceania","Desktop","13.99",1,"Gift Card",2,"0.08","Comedy"
"854b2bfd-6773-413f-b385-02338fa3a316",31,"Female","Standard","2.23",39,"North America","Mobile","13.99",1,"Debit Card",5,"0.06","Drama"
"d1593b1d-ef59-4d4a-a169-5ff338b8baef",60,"Male","Standard","3.01",30,"Asia","Desktop","13.99",1,"Gift Card",3,"0.1","Documentary"
"a2eab47c-dc4c-427f-88f8-755051b303fb",51,"Female","Premium","3.7",37,"South America","Mobile","17.99",1,"Credit Card",2,"0.1","Horror"
"af9b0f0d-9532-48f2-ad24-bf41faa164a6",55,"Other","Standard","2.89",37,"North America","Desktop","13.99",1,"Debit Card",4,"0.08","Action"
"da57899f-77b4-4b23-bcab-700db438f6d1",43,"Female","Premium","2.5",33,"Europe","TV","17.99",1,"Credit Card",3,"0.07","Action"
"4c7d404a-ebd5-4881-9fb5-302ad47f2fb8",31,"Male","Standard","1.77",34,"Europe","TV","13.99",1,"PayPal",3,"0.05","Sci-Fi"
"005b6afc-cff9-432f-ae0e-265d9acb5a59",63,"Other","Premium","3.39",57,"South America","Mobile","17.99",1,"PayPal",4,"0.06","Sci-Fi"
"52aa9ac1-8625-4421-8d2c-3ed00cf83389",60,"Male","Premium","3.29",20,"Asia","Mobile","17.99",1,"Debit Card",2,"0.16","Drama"
"ce40f5f8-42ee-44e2-b754-bd3a626cf48d",61,"Female","Standard","4.52",21,"Europe","Tablet","13.99",1,"Crypto",2,"0.21","Drama"
"f1e8f248-727d-47f5-92da-d6f7610cfc5b",55,"Female","Premium","1.66",54,"Oceania","TV","17.99",1,"PayPal",4,"0.03","Drama"
"1cb5c1a8-8724-4edc-8255-06b1152f5dea",64,"Female","Premium","4.42",17,"South America","Laptop","17.99",1,"Crypto",3,"0.25","Horror"
"6d9e258d-3110-475f-ac1c-1eba0f56b7e8",19,"Male","Basic","3.89",33,"North America","Mobile","8.99",1,"Credit Card",1,"0.11","Romance"
"a9661b26-d812-406e-a1e2-58f640879a0a",20,"Other","Premium","3.4",33,"Africa","Tablet","17.99",1,"Crypto",5,"0.1","Drama"
"747d7b40-97b1-4207-923c-72d5c3e65343",50,"Female","Standard","3.58",54,"Europe","Tablet","13.99",1,"Credit Card",4,"0.07","Romance"
"cd2fbe59-0226-47ac-83f9-3aad8fdd9fd1",31,"Other","Premium","2.81",39,"Europe","Desktop","17.99",1,"Credit Card",5,"0.07","Horror"
"fa19687b-872c-4163-a900-59f1b4098ed9",49,"Female","Basic","2.9",46,"Asia","Mobile","8.99",1,"Debit Card",2,"0.06","Horror"
"f2d0a49a-a99d-440c-8495-66a3e2e4d7f9",22,"Other","Basic","2.93",27,"Asia","TV","8.99",1,"Gift Card",2,"0.1","Sci-Fi"
"f5a0302a-6df7-4cad-b563-199ad2af75da",35,"Male","Basic","4.58",42,"South America","Tablet","8.99",1,"Credit Card",4,"0.11","Romance"
"4891e3c6-f53b-45af-ad62-12572f687302",70,"Other","Basic","1.28",52,"Asia","Mobile","8.99",1,"Credit Card",5,"0.02","Action"
"efe01bcd-e159-4494-a1d3-6e8432a0c269",33,"Male","Standard","2.86",30,"Europe","Tablet","13.99",1,"Gift Card",5,"0.09","Drama"
"552fb14c-c171-4f05-895a-61d49233686b",22,"Female","Basic","3.71",28,"Europe","TV","8.99",1,"Crypto",1,"0.13","Horror"
"99e08a07-d0de-46c9-997d-1fb9452bea46",29,"Male","Basic","1.7",43,"South America","Mobile","8.99",1,"Debit Card",5,"0.04","Horror"
"45291e8c-5116-4068-9168-545eecfaf691",67,"Female","Standard","1.02",20,"Europe","Laptop","13.99",1,"Gift Card",1,"0.05","Sci-Fi"
"00477256-578d-4abd-8ed8-3a5e75539e7a",53,"Female","Premium","1.36",35,"South America","Mobile","17.99",1,"Gift Card",2,"0.04","Romance"
"3b237337-1044-4e5d-a612-e1a9e5f6eb36",56,"Other","Premium","1.43",16,"Europe","Laptop","17.99",1,"Debit Card",2,"0.08","Action"
"33563d42-7f51-405c-8328-8cd881128656",54,"Male","Basic","3.13",16,"Oceania","TV","8.99",1,"Credit Card",5,"0.18","Drama"
"4949efaa-be29-41cc-a0ee-683eaa53f442",19,"Other","Basic","3.72",11,"Asia","Desktop","8.99",1,"Crypto",5,"0.31","Documentary"
"5945dc09-1b5b-4511-ac0d-20135699628e",34,"Male","Basic","1.89",59,"Asia","Tablet","8.99",1,"Credit Card",5,"0.03","Action"
"844f2522-32e3-4f44-a960-cd0c13881618",45,"Other","Basic","3.4",27,"North America","Laptop","8.99",1,"Crypto",3,"0.12","Sci-Fi"
"e8fda88a-2847-4cb4-b5a0-b7f0c3454405",67,"Other","Standard","3.29",25,"North America","Tablet","13.99",1,"Crypto",1,"0.13","Documentary"
"6735d050-2af6-4030-b34f-9687ab1a8914",33,"Male","Basic","2.27",20,"South America","Desktop","8.99",1,"Debit Card",3,"0.11","Romance"
"629a11d7-4bd9-4698-b40f-8638ffd900c7",24,"Female","Basic","2.42",56,"Europe","Tablet","8.99",1,"Crypto",3,"0.04","Comedy"
"76d56597-dfb2-4223-845f-b8ff46b00ccd",42,"Male","Premium","0.88",33,"Oceania","Laptop","17.99",1,"Credit Card",1,"0.03","Comedy"
"fd5c0b28-152d-47e2-bc46-c8db8eb99985",27,"Other","Premium","4.57",24,"Africa","Laptop","17.99",1,"Gift Card",4,"0.18","Documentary"
"a8582720-4d1c-4377-8be1-a414bc51938d",70,"Other","Basic","2.24",50,"Europe","Laptop","8.99",1,"PayPal",5,"0.04","Documentary"
"9141433d-3463-435d-9b27-87d08766f03d",30,"Female","Premium","3.61",43,"Africa","Tablet","17.99",1,"PayPal",4,"0.08","Comedy"
"9945eeb5-7747-4c17-a171-35bfde1b29ff",34,"Female","Standard","3.85",55,"South America","Desktop","13.99",1,"Gift Card",3,"0.07","Romance"
"e3e9c377-2cb7-4ec4-a85a-f59b9e6f298d",62,"Female","Basic","1.55",17,"South America","Tablet","8.99",1,"Debit Card",2,"0.09","Action"
"042c6d84-17fa-4c97-a537-dcc1ebfc9b19",20,"Female","Premium","4.57",17,"South America","Laptop","17.99",1,"Gift Card",1,"0.25","Comedy"
"31dab47e-d021-4d4b-8284-98460539ef0a",47,"Male","Standard","3.92",58,"Africa","Tablet","13.99",1,"PayPal",5,"0.07","Horror"
"c81ba12a-e438-42fc-9d0a-045fb8a0e87a",53,"Other","Premium","0.25",50,"Asia","Tablet","17.99",1,"PayPal",1,"0","Romance"
"65967ad4-dae6-45d3-9af8-3897eed4bdfb",56,"Female","Premium","2.39",21,"South America","Tablet","17.99",1,"Debit Card",2,"0.11","Comedy"
"2986574c-65fa-40e8-ae90-3c745b045804",42,"Other","Basic","2.6",50,"South America","Laptop","8.99",1,"Credit Card",4,"0.05","Romance"
"7ce062a1-89ad-45c1-a25a-0b3b4ee4ec72",47,"Other","Basic","0.39",48,"South America","Tablet","8.99",1,"PayPal",5,"0.01","Romance"
"0480261e-6011-440b-862c-17eb4d5f183f",54,"Other","Premium","0.56",30,"North America","Tablet","17.99",1,"Debit Card",2,"0.02","Horror"
"5af996e6-33fe-477d-a99e-1c10776fda79",56,"Other","Standard","1.95",28,"North America","Mobile","13.99",1,"Crypto",4,"0.07","Romance"
"a15b0804-4a6c-4410-b37f-a4986930e827",51,"Male","Basic","2.17",14,"Africa","Tablet","8.99",1,"Debit Card",3,"0.14","Horror"
"c9c2f14e-1e0f-467a-90f5-e8512a867bf1",36,"Female","Basic","3.58",14,"North America","Tablet","8.99",1,"PayPal",2,"0.24","Romance"
"a03703b4-96da-4fc9-ab23-dc087a013b7d",66,"Other","Standard","1.42",57,"Europe","Laptop","13.99",1,"Gift Card",3,"0.02","Drama"
"8e10ed31-6232-49d2-9def-3cb40206c216",42,"Female","Basic","2.98",29,"Asia","TV","8.99",1,"Crypto",4,"0.1","Comedy"
"2c8412ce-38b1-4edd-9a05-23df72e6ec65",34,"Female","Standard","0.68",42,"Africa","Desktop","13.99",1,"Crypto",2,"0.02","Comedy"
"06d02ff5-4241-48cf-88cd-83e965c477fa",49,"Other","Standard","2.26",31,"Europe","Laptop","13.99",1,"PayPal",5,"0.07","Comedy"
"59b1d940-2563-4884-9944-87129d5a5399",65,"Other","Standard","1.83",37,"Africa","Desktop","13.99",1,"Credit Card",1,"0.05","Comedy"
"a229903c-f733-4e37-8f53-26759271a27d",52,"Female","Standard","2.62",43,"South America","Mobile","13.99",1,"Gift Card",5,"0.06","Documentary"
"5b14b084-6bd2-4df4-b9c5-8839f9e9680a",68,"Female","Standard","2.7",35,"Asia","TV","13.99",1,"Debit Card",1,"0.08","Documentary"
"10e3667e-01b2-4340-8f1e-f6eca396f00c",52,"Other","Standard","1.79",38,"Africa","Mobile","13.99",1,"Credit Card",1,"0.05","Drama"
"ae95f50e-1e2f-4f65-874d-0b6bc9427707",33,"Female","Basic","0.14",37,"Europe","TV","8.99",1,"PayPal",5,"0","Sci-Fi"
"c92450d6-b3fa-47a1-82ac-ebbf6f022eac",37,"Male","Basic","4.84",25,"Africa","Laptop","8.99",1,"PayPal",5,"0.19","Action"
"075f3920-d7be-49de-b9a8-04ae797d2806",43,"Male","Basic","0.53",22,"Europe","TV","8.99",1,"PayPal",1,"0.02","Romance"
"258fb686-a114-48c9-b4d9-45d0e773064f",67,"Female","Basic","2.55",48,"Oceania","Laptop","8.99",1,"Gift Card",2,"0.05","Sci-Fi"
"af94b7ff-2542-4364-b5fb-a71e0250ef2d",67,"Male","Premium","1.04",17,"Europe","Mobile","17.99",1,"Gift Card",2,"0.06","Romance"
"77cf8860-f7d9-4320-a1eb-c06c6b3941db",35,"Male","Premium","1.95",52,"Africa","Tablet","17.99",1,"Credit Card",5,"0.04","Drama"
"8c0e6937-e5a5-4e4b-80e6-734497960ec4",61,"Female","Basic","1.21",31,"Europe","Tablet","8.99",1,"Crypto",3,"0.04","Drama"
"7b0bee97-a383-498d-a1d0-2de7c824ce74",30,"Female","Premium","3.55",45,"South America","Desktop","17.99",1,"Gift Card",3,"0.08","Romance"
"86ca5953-8687-4fd4-ad11-0d5d680458a8",63,"Other","Premium","0.3",12,"Asia","Laptop","17.99",1,"Credit Card",2,"0.02","Drama"
"0de32e81-bbd2-465d-a0bd-dc9981e9de95",51,"Male","Standard","2.56",53,"Oceania","Desktop","13.99",1,"PayPal",2,"0.05","Romance"
"d3d8842a-961b-4951-ad19-f2ce40f0bd6c",59,"Female","Standard","2.28",38,"Africa","Desktop","13.99",1,"PayPal",3,"0.06","Drama"
